city;country;population
Thorsby;United States;2044
Uniontown;United States;2415
Farmington;United States;6701
Little Flock;United States;2748
Mansfield;United States;1096
Marshall;United States;1300
Glasgow;United States;14303
Kent Acres;United States;1890
Smyrna;United States;11319
Asbury Lake;United States;8700
Bayonet Point;United States;23467
Citrus Park;United States;24252
Combee Settlement;United States;5577
East Pensacola Heights;United States;54104
Gibsonia;United States;4571
Hallandale Beach;United States;39488
Jacksonville Beach;United States;23064
Jasmine Estates;United States;18989
Minneola;United States;10735
North Bay Village;United States;8302
North Redington Beach;United States;1463
Orange Park;United States;8702
Orlovista;United States;6123
Pace;United States;20039
Pine Ridge;United States;9598
Pine Ridge;United States;1918
Pinecrest;United States;19452
Plantation Mobile Home Park;United States;1260
Port Orange;United States;59866
Pretty Bayou;United States;3206
Rockledge;United States;24926
Roseland;United States;1472
Sanford;United States;58111
Schall Circle;United States;1117
Spring Hill;United States;98621
Union Park;United States;9765
Wellington;United States;62560
Whiskey Creek;United States;4655
Williamsburg;United States;7646
Americus;United States;16028
Baldwin;United States;3286
Camilla;United States;5089
East Dublin;United States;2392
Gibson;United States;657
Gray;United States;3269
Gumlog;United States;2146
LaGrange;United States;29588
Lithonia;United States;2022
Mountain City;United States;1061
Pooler;United States;23133
Swainsboro;United States;7471
Trion;United States;1785
Waynesboro;United States;5704
Altamont;United States;2308
Benton;United States;7041
Breese;United States;4506
Energy;United States;1145
Freeburg;United States;4241
Mound City;United States;544
Palestine;United States;1331
Sumner;United States;3183
Swansea;United States;13543
Clinton;United States;4811
Greendale;United States;4431
Milan;United States;1886
Emporia;United States;24649
Hill City;United States;1467
La Crosse;United States;1262
Lansing;United States;11767
Lawrence;United States;93917
Prairie Village;United States;21877
Brownsville;United States;826
Edgewood;United States;8769
Hickman;United States;2202
Hillview;United States;8080
Irvington;United States;1184
La Grange;United States;8619
Northfield;United States;1051
Shelbyville;United States;15253
Stanford;United States;3675
Sturgis;United States;1912
Carville;United States;1108
Denham Springs;United States;10125
Pineville;United States;14403
Prien;United States;7810
Winnsboro;United States;4762
Damascus;United States;15257
Ferndale;United States;16746
Goddard;United States;6177
Halfway;United States;10701
Hebron;United States;1092
Joppatowne;United States;12616
Lake Arbor;United States;9776
Marlboro Meadows;United States;3672
Redland;United States;17242
Riverside;United States;6507
Rockville;United States;66980
West Ocean City;United States;4375
Butler;United States;4091
California;United States;4396
Campbell;United States;1922
Centralia;United States;4194
Charlack;United States;1371
Clever;United States;2517
Hermann;United States;2376
Hillsdale;United States;1513
Moline Acres;United States;2431
Pleasant Hill;United States;8289
Savannah;United States;5108
Sikeston;United States;16436
Sweet Springs;United States;1467
Valley Park;United States;6974
Warson Woods;United States;1958
Willow Springs;United States;2150
Arnold Line;United States;1719
Brooksville;United States;1173
